NAME,B01001_001E,B01001_002E,B01001_026E,B01002_001E,B02001_002E,B02001_003E,B02001_005E,B11001_001E,B11001_002E,B15003_001E,B15003_017E,B15003_021E,B15003_023E,B19013_001E,B19001_002E,B19001_017E,B19301_001E,B23025_005E,B23025_003E,B17001_002E,B17001_001E,B18101_004E,B18101_007E,B18101_010E,B18101_013E,B12001_001E,B12001_003E,B12001_009E,B12001_011E,B16001_001E,B16001_002E,B16001_003E,B25077_001E,B25064_001E,B25003_002E,B25003_003E,B25035_001E,B25071_001E,B27001_001E,B27001_005E,B27001_008E,B08006_001E,B08006_002E,B08013_001E,B28002_001E,B28002_002E,B28002_004E,B19052_001E,B19083_001E,state,county
Area name,Total population,Male population,Female population,Median age,White alone,Black or African American alone,Asian alone,Total households,Family households,Population 25 years and over,High school graduate,Bachelor’s degree,Graduate or professional degree,Median household income,"Households earning less than $10,000","Households earning $200,000 or more",Per capita income,Unemployed individuals,Labor force,Population below poverty level,Total population for poverty status,Individuals with a hearing difficulty,Individuals with a vision difficulty,Individuals with a cognitive difficulty,Individuals with an ambulatory difficulty,Population 15 years and over,Now married,Divorced,Widowed,Population 5 years and over,English only,Spanish-speaking population,Median home value,Median gross rent,Owner-occupied housing units,Renter-occupied housing units,Median year housing unit was built,Monthly housing costs as a percentage of household income,Total health insurance coverage status,Male with public health insurance,Female with private health insurance,Total workers 16 years and over,"Car, truck, or van - drove alone",Travel time to work (minutes),Total households,Households with internet access,Households with broadband internet,Household income from Social Security,Gini index of income inequality,,
"Fayette County, Illinois",21565,11469,10096,41.9,20245,1007,116,7737,5297,15303,5019,1523,420,46650,502,146,23194,525,9285,3421,19855,0,120,190,856,17915,3525,224,8324,,,,88300,612,6228,1509,1965,26.8,19948,72,107,8633,8041,187345,7737,5629,5578,7737,0.4373,17,051
"Logan County, Illinois",29003,14298,14705,40.1,25667,2003,218,10797,6770,20373,5818,1913,975,57308,580,403,27546,738,13164,2323,24979,0,249,371,682,24443,4079,356,12478,,,,103200,689,7854,2943,1960,22.6,25735,42,45,12211,11094,254725,10797,8370,8319,10797,0.4201,17,107
"Saline County, Illinois",23994,11807,12187,42.2,22234,632,178,9972,6654,17113,3828,2326,884,44090,939,266,25342,816,10718,4936,23435,11,317,301,1051,19736,2725,230,10142,,,,73800,622,7432,2540,1967,28.5,23540,39,42,9631,9028,219665,9972,7223,7141,9972,0.4692,17,165
"Lake County, Illinois",701473,350466,351007,38.4,531609,47385,54157,246122,180068,457676,81992,29020,62289,89427,9352,41004,45766,19357,371283,54273,684107,149,2997,4234,11029,562653,95292,5547,283051,,,,265100,1197,179679,66443,1981,29.1,685292,833,2028,355918,302974,10091775,246122,221633,220965,246122,0.4847,17,097
"Massac County, Illinois",14219,6714,7505,43.5,12956,830,29,5822,3906,10021,2919,1216,326,47481,397,68,23539,259,5895,2331,13918,0,53,134,640,11531,1389,166,6065,,,,83600,692,4395,1427,1975,30.9,13979,0,30,5602,5276,124785,5822,3979,3922,5822,0.4097,17,127
"Cass County, Illinois",12493,6236,6257,40.0,11058,652,45,5043,3336,8503,3139,601,316,52373,247,120,26992,414,6392,1822,12331,0,36,65,274,9966,1534,107,5040,,,,80800,598,3762,1281,1962,22.7,12358,25,53,5870,5413,116355,5043,3869,3843,5043,0.4227,17,017
"Huntington County, Indiana",36359,17919,18440,40.7,34850,357,263,14742,9907,25019,8871,2400,1487,53632,676,292,26502,532,19118,3809,34942,32,153,148,1203,29885,4176,321,15222,,,,107200,703,11125,3617,1957,27.7,35928,26,156,18229,16962,378335,14742,11726,11618,14742,0.3876,18,069
"White County, Indiana",24149,12063,12086,42.0,21955,123,55,9879,6805,16625,5865,1560,745,54576,353,189,27461,465,11748,2198,23801,6,212,165,722,19452,2429,326,9781,,,,113500,706,7661,2218,1971,24.7,23866,92,166,10964,10170,267605,9879,8095,8019,9879,0.3940,18,181
"Jay County, Indiana",20840,10452,10388,39.7,20212,76,157,8174,5354,13745,5967,1278,484,47658,558,95,23443,376,9992,2887,20475,0,199,227,771,16497,2565,294,8370,,,,91400,677,5968,2206,1959,23.5,20638,19,150,9400,8426,183430,8174,5660,5563,8174,0.4177,18,075
